Problem: Predict customer churn
Best Model: StackedEnsemble_BestOfFamily_4_AutoML_1_20251121_163520
Saved: /home/dev/Documents/final/results/models/StackedEnsemble_BestOfFamily_4_AutoML_1_20251121_163520.zip

                                                   model_id       auc   logloss     aucpr  mean_per_class_error      rmse       mse
0   StackedEnsemble_BestOfFamily_4_AutoML_1_20251121_163520  0.849036  0.411885  0.666475              0.229218  0.365199  0.133370
1   StackedEnsemble_BestOfFamily_2_AutoML_1_20251121_163520  0.848232  0.412676  0.663155              0.234539  0.365576  0.133646
2      StackedEnsemble_AllModels_3_AutoML_1_20251121_163520  0.848086  0.412747  0.665634              0.235131  0.365731  0.133759
3      StackedEnsemble_AllModels_2_AutoML_1_20251121_163520  0.847847  0.412852  0.666293              0.233889  0.365705  0.133740
4      StackedEnsemble_AllModels_1_AutoML_1_20251121_163520  0.847822  0.413202  0.663793              0.233358  0.365673  0.133717
5   StackedEnsemble_BestOfFamily_3_AutoML_1_20251121_163520  0.847812  0.412934  0.664113              0.230499  0.365794  0.133805
6   StackedEnsemble_BestOfFamily_1_AutoML_1_20251121_163520  0.847670  0.413420  0.662634              0.234827  0.365916  0.133895
7                            GLM_1_AutoML_1_20251121_163520  0.847643  0.414486  0.658966              0.228242  0.366020  0.133971
8          XGBoost_grid_1_AutoML_1_20251121_163520_model_21  0.847612  0.414005  0.661960              0.228550  0.366459  0.134292
9          XGBoost_grid_1_AutoML_1_20251121_163520_model_19  0.847526  0.414246  0.661353              0.228993  0.366526  0.134341
10         XGBoost_grid_1_AutoML_1_20251121_163520_model_15  0.847175  0.414790  0.658686              0.227007  0.366758  0.134511
11         XGBoost_grid_1_AutoML_1_20251121_163520_model_16  0.847103  0.413931  0.664121              0.230184  0.366700  0.134469
12         XGBoost_grid_1_AutoML_1_20251121_163520_model_20  0.846036  0.416304  0.659290              0.241336  0.367665  0.135177
13             GBM_grid_1_AutoML_1_20251121_163520_model_14  0.844344  0.419034  0.657057              0.234771  0.367774  0.135258
14          XGBoost_grid_1_AutoML_1_20251121_163520_model_9  0.842592  0.420582  0.655934              0.235815  0.369579  0.136589
15             GBM_grid_1_AutoML_1_20251121_163520_model_11  0.841366  0.420637  0.653771              0.244476  0.368695  0.135936
16         XGBoost_grid_1_AutoML_1_20251121_163520_model_18  0.838406  0.427424  0.643560              0.240812  0.373411  0.139436
17                       XGBoost_3_AutoML_1_20251121_163520  0.837914  0.426776  0.655659              0.250041  0.372198  0.138531
18         XGBoost_grid_1_AutoML_1_20251121_163520_model_22  0.836565  0.430200  0.639242              0.249755  0.374414  0.140186
19         XGBoost_grid_1_AutoML_1_20251121_163520_model_11  0.835669  0.431426  0.644953              0.238142  0.374332  0.140125
20          XGBoost_grid_1_AutoML_1_20251121_163520_model_7  0.835493  0.431742  0.635685              0.247460  0.375184  0.140763
21          XGBoost_grid_1_AutoML_1_20251121_163520_model_3  0.834894  0.431786  0.645159              0.247981  0.374290  0.140093
22                       XGBoost_1_AutoML_1_20251121_163520  0.833862  0.435397  0.639601              0.244838  0.376296  0.141599
23          XGBoost_grid_1_AutoML_1_20251121_163520_model_6  0.832942  0.437189  0.634446              0.246832  0.376043  0.141409
24          XGBoost_grid_1_AutoML_1_20251121_163520_model_2  0.832772  0.438021  0.633500              0.246016  0.377468  0.142482
25                  DeepLearning_1_AutoML_1_20251121_163520  0.831664  0.441299  0.622669              0.240626  0.376776  0.141960
26              GBM_grid_1_AutoML_1_20251121_163520_model_7  0.831423  0.430997  0.643905              0.245788  0.372741  0.138936
27              GBM_grid_1_AutoML_1_20251121_163520_model_6  0.831096  0.431092  0.646817              0.241091  0.372270  0.138585
28          XGBoost_grid_1_AutoML_1_20251121_163520_model_4  0.829916  0.441628  0.634174              0.248700  0.378231  0.143058
29          XGBoost_grid_1_AutoML_1_20251121_163520_model_5  0.829727  0.440025  0.632529              0.250222  0.378065  0.142933
30          XGBoost_grid_1_AutoML_1_20251121_163520_model_1  0.829505  0.444094  0.625269              0.250064  0.379432  0.143969
31         XGBoost_grid_1_AutoML_1_20251121_163520_model_14  0.829133  0.443033  0.631045              0.245747  0.379386  0.143934
32         XGBoost_grid_1_AutoML_1_20251121_163520_model_13  0.826966  0.449251  0.621492              0.244277  0.381844  0.145805
33              GBM_grid_1_AutoML_1_20251121_163520_model_4  0.826636  0.437466  0.628163              0.243714  0.376002  0.141378
34                           XRT_1_AutoML_1_20251121_163520  0.826508  0.491792  0.625306              0.247512  0.400725  0.160581
35              GBM_grid_1_AutoML_1_20251121_163520_model_9  0.825985  0.438317  0.632727              0.249719  0.376134  0.141477
36         XGBoost_grid_1_AutoML_1_20251121_163520_model_17  0.824671  0.458847  0.624502              0.251894  0.383207  0.146847
37              GBM_grid_1_AutoML_1_20251121_163520_model_3  0.824525  0.440711  0.625653              0.249432  0.377345  0.142389
38         XGBoost_grid_1_AutoML_1_20251121_163520_model_12  0.823540  0.454701  0.615289              0.256465  0.384184  0.147597
39             GBM_grid_1_AutoML_1_20251121_163520_model_10  0.822959  0.443580  0.622674              0.251181  0.379398  0.143943
40                           GBM_3_AutoML_1_20251121_163520  0.822958  0.445654  0.620928              0.253483  0.380146  0.144511
41     DeepLearning_grid_1_AutoML_1_20251121_163520_model_2  0.821804  0.626545  0.611573              0.247511  0.389478  0.151693
42                       XGBoost_2_AutoML_1_20251121_163520  0.820872  0.458280  0.619360              0.260501  0.385816  0.148854
43     DeepLearning_grid_1_AutoML_1_20251121_163520_model_3  0.820330  0.668940  0.609163              0.256649  0.388577  0.150992
44              GBM_grid_1_AutoML_1_20251121_163520_model_1  0.818273  0.450289  0.606771              0.249152  0.382401  0.146231
45          XGBoost_grid_1_AutoML_1_20251121_163520_model_8  0.817679  0.531609  0.611017              0.259913  0.401691  0.161356
46                           DRF_1_AutoML_1_20251121_163520  0.817321  0.519008  0.611666              0.253345  0.383048  0.146726
47                           GBM_2_AutoML_1_20251121_163520  0.817265  0.449226  0.618296              0.249758  0.380687  0.144923
48                           GBM_5_AutoML_1_20251121_163520  0.817121  0.448896  0.621670              0.254023  0.379927  0.144344
49                           GBM_1_AutoML_1_20251121_163520  0.816595  0.447793  0.624280              0.252350  0.378587  0.143328
50     DeepLearning_grid_1_AutoML_1_20251121_163520_model_1  0.816432  0.619108  0.593222              0.247523  0.391485  0.153261
51              GBM_grid_1_AutoML_1_20251121_163520_model_2  0.815018  0.450508  0.612777              0.255472  0.380759  0.144977
52         XGBoost_grid_1_AutoML_1_20251121_163520_model_10  0.812651  0.492805  0.594937              0.259339  0.396540  0.157244
53                           GBM_4_AutoML_1_20251121_163520  0.806256  0.467444  0.597654              0.256490  0.387387  0.150069
54         XGBoost_grid_1_AutoML_1_20251121_163520_model_24  0.806187  0.586526  0.587185              0.257485  0.444547  0.197622
55             GBM_grid_1_AutoML_1_20251121_163520_model_13  0.805107  0.490629  0.599097              0.257909  0.394703  0.155791
56              GBM_grid_1_AutoML_1_20251121_163520_model_8  0.804863  0.482865  0.598097              0.268377  0.394663  0.155759
57             GBM_grid_1_AutoML_1_20251121_163520_model_12  0.801755  0.467595  0.597494              0.256823  0.386878  0.149675
58         XGBoost_grid_1_AutoML_1_20251121_163520_model_23  0.801171  0.565387  0.579682              0.258396  0.433744  0.188134
59     DeepLearning_grid_1_AutoML_1_20251121_163520_model_4  0.800771  0.768745  0.571897              0.260328  0.402403  0.161928
60              GBM_grid_1_AutoML_1_20251121_163520_model_5  0.797181  0.475167  0.589512              0.263772  0.389895  0.152018
61             GBM_grid_1_AutoML_1_20251121_163520_model_15  0.738200  0.546009  0.492726              0.308608  0.426455  0.181863
